PMID	Title	Folder_Info	Proposedcondition	Proposed_Experiment_Name	Proposed_replica	Projec	SRA_id	FASTQ_TYPE	notes	strand
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX2_1	3	PRJEB21615	ERR3447782	PAIRED	BAMdeposited	
										
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	1	PRJEB21615	ERR3447783	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	1	PRJEB21615	ERR3447784	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	1	PRJEB21615	ERR3447785	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	1	PRJEB21615	ERR3447786	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	2	PRJEB21615	ERR3447787	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	2	PRJEB21615	ERR3447788	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	2	PRJEB21615	ERR3447789	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	CAF1b_1	2	PRJEB21615	ERR3447790	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	1	PRJEB21615	ERR3447791	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	1	PRJEB21615	ERR3447792	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	1	PRJEB21615	ERR3447793	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	1	PRJEB21615	ERR3447794	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	2	PRJEB21615	ERR3447795	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	2	PRJEB21615	ERR3447796	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	2	PRJEB21615	ERR3447797	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	CAF1b_1	2	PRJEB21615	ERR3447798	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	1	PRJEB21615	ERR3447799	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	1	PRJEB21615	ERR3447800	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	1	PRJEB21615	ERR3447801	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	1	PRJEB21615	ERR3447802	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	2	PRJEB21615	ERR3447803	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	2	PRJEB21615	ERR3447804	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	2	PRJEB21615	ERR3447805	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	CAF1b_1	2	PRJEB21615	ERR3447806	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	1	PRJEB21615	ERR3447807	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	1	PRJEB21615	ERR3447808	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	1	PRJEB21615	ERR3447809	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	1	PRJEB21615	ERR3447810	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	2	PRJEB21615	ERR3447811	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	2	PRJEB21615	ERR3447812	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	2	PRJEB21615	ERR3447813	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	2	PRJEB21615	ERR3447814	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	3	PRJEB21615	ERR3447815	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	3	PRJEB21615	ERR3447816	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	3	PRJEB21615	ERR3447817	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	Control	VEX1and2_1	3	PRJEB21615	ERR3447818	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	1	PRJEB21615	ERR3447819	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	1	PRJEB21615	ERR3447820	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	1	PRJEB21615	ERR3447821	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	1	PRJEB21615	ERR3447822	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	2	PRJEB21615	ERR3447823	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	2	PRJEB21615	ERR3447824	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	2	PRJEB21615	ERR3447825	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	2	PRJEB21615	ERR3447826	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	3	PRJEB21615	ERR3447827	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	3	PRJEB21615	ERR3447828	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	3	PRJEB21615	ERR3447829	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	ControlUN	VEX1and2_1	3	PRJEB21615	ERR3447830	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	1	PRJEB21615	ERR3447831	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	1	PRJEB21615	ERR3447832	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	1	PRJEB21615	ERR3447833	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	1	PRJEB21615	ERR3447834	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	2	PRJEB21615	ERR3447835	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	2	PRJEB21615	ERR3447836	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	2	PRJEB21615	ERR3447837	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	2	PRJEB21615	ERR3447838	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	3	PRJEB21615	ERR3447839	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	3	PRJEB21615	ERR3447840	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	3	PRJEB21615	ERR3447841	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi24	VEX1and2_1	3	PRJEB21615	ERR3447842	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	1	PRJEB21615	ERR3447843	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	1	PRJEB21615	ERR3447844	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	1	PRJEB21615	ERR3447845	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	1	PRJEB21615	ERR3447846	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	2	PRJEB21615	ERR3447847	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	2	PRJEB21615	ERR3447848	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	2	PRJEB21615	ERR3447849	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	2	PRJEB21615	ERR3447850	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	3	PRJEB21615	ERR3447851	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	3	PRJEB21615	ERR3447852	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	3	PRJEB21615	ERR3447853	PAIRED	BAMdeposited	
31289266	Monoallelic expression and epigenetic inheritance sustained by a Trypanosoma brucei variant surface glycoprotein exclusion complex 	VEX2_1	RNAi48	VEX1and2_1	3	PRJEB21615	ERR3447854	PAIRED	BAMdeposited	
										
										
24946224	Trypanosoma brucei histone H1 inhibits RNA polymerase I transcription and is important for parasite fitness in vivo	H1_1	Control	H1_1	1	PRJEB4146	ERR556937	PAIRED		
24946224	Trypanosoma brucei histone H1 inhibits RNA polymerase I transcription and is important for parasite fitness in vivo	H1_1	Control	H1_1	2	PRJEB4146	ERR556938	PAIRED		
24946224	Trypanosoma brucei histone H1 inhibits RNA polymerase I transcription and is important for parasite fitness in vivo	H1_1	RNAi96	H1_1	1	PRJEB4146	ERR556936	PAIRED		
24946224	Trypanosoma brucei histone H1 inhibits RNA polymerase I transcription and is important for parasite fitness in vivo	H1_1	RNAi96	H1_1	2	PRJEB4146	ERR556939	PAIRED		
										
										
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	Control	VEX1_1	1	PRJEB8747	ERR1413153	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	Control	VEX1_1	2	PRJEB8747	ERR1413154	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	ControlUN	VEX1_1	1	PRJEB8747	ERR1395522	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	ControlUN	VEX1_1	2	PRJEB8747	ERR1395523	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	Oe72	VEX1_1	1	PRJEB8747	ERR1395524	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	Oe72	VEX1_1	2	PRJEB8747	ERR1395525	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	ControlUN	VEX1_2	1	PRJEB8747	ERR789033	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	ControlUN	VEX1_2	2	PRJEB8747	ERR789034	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	RNAi72	VEX1_2	1	PRJEB8747	ERR789035	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	RNAi72	VEX1_2	2	PRJEB8747	ERR789036	PAIRED	BSF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	ControlUN	VEX1_3	1	PRJEB8747	ERR789059	PAIRED	PCF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	ControlUN	VEX1_3	2	PRJEB8747	ERR789060	PAIRED	PCF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	RNAi72	VEX1_3	1	PRJEB8747	ERR789061	PAIRED	PCF	
27226299	VEX1 controls the allelic exclusion required for antigenic variation in trypanosomes	VEX1_1	RNAi72	VEX1_3	2	PRJEB8747	ERR789062	PAIRED	PCF	
										
										
31127277	A post-transcriptional respiratome regulon in trypanosomes 	ZC3H40_1	ControlUN	ZC3H40_1	1	PRJEB30784	ERR3383643	PAIRED		
31127277	A post-transcriptional respiratome regulon in trypanosomes 	ZC3H40_1	ControlUN	ZC3H40_1	2	PRJEB30784	ERR3383645	PAIRED		
31127277	A post-transcriptional respiratome regulon in trypanosomes 	ZC3H40_1	RNAi72	ZC3H40_1	1	PRJEB30784	ERR3383644	PAIRED		
31127277	A post-transcriptional respiratome regulon in trypanosomes 	ZC3H40_1	RNAi72	ZC3H40_1	2	PRJEB30784	ERR3383646	PAIRED		
										
										
31693280	SUMOylated SNF2PH promotes variant surface glycoprotein expression in bloodstream trypanosomes 	SNF2PH_1	ControlUN	SNF2PH_1	1	PRJNA562785	SRR10034555	PAIRED	BSF	
31693280	SUMOylated SNF2PH promotes variant surface glycoprotein expression in bloodstream trypanosomes 	SNF2PH_1	ControlUN	SNF2PH_1	2	PRJNA562785	SRR10034554	PAIRED	BSF	
31693280	SUMOylated SNF2PH promotes variant surface glycoprotein expression in bloodstream trypanosomes 	SNF2PH_1	RNAi48	SNF2PH_1	1	PRJNA562785	SRR10034553	PAIRED	BSF	
31693280	SUMOylated SNF2PH promotes variant surface glycoprotein expression in bloodstream trypanosomes 	SNF2PH_1	RNAi48	SNF2PH_1	2	PRJNA562785	SRR10034552	PAIRED	BSF	
31693280	SUMOylated SNF2PH promotes variant surface glycoprotein expression in bloodstream trypanosomes 	SNF2PH_1	ControlUN	SNF2PH_2	1	PRJNA562785	SRR10034566	PAIRED	PCF	
31693280	SUMOylated SNF2PH promotes variant surface glycoprotein expression in bloodstream trypanosomes 	SNF2PH_1	ControlUN	SNF2PH_2	2	PRJNA562785	SRR10034542	PAIRED	PCF	
31693280	SUMOylated SNF2PH promotes variant surface glycoprotein expression in bloodstream trypanosomes 	SNF2PH_1	Oe48	SNF2PH_2	1	PRJNA562785	SRR10034564	PAIRED	PCF	
